======================================================================
ENHANCED MC+LNN SPATIAL INTERPOLATION — LOO CV RESULTS
======================================================================
Wells: 592, Times: 288
Target wells: 30
Donor weights: dist=0.4, precip=0.4, elev=0.2
Total time: 449.9s

              Method |  KGE_mean  KGE_std  KGE_med |  R²_mean |  RMSE_mean  MAE_mean
-------------------------------------------------------------------------------------
   Enhanced Transfer |   -0.5524   1.6709  -0.0808 | -6411.3055 |     70.148    69.901
   Distance Transfer |   -0.5119   2.0792   0.1171 | -5150.2891 |     56.567    56.314
                 IDW |   -0.5510   2.0315   0.0492 | -5402.8446 |     57.944    57.697

  Enhanced: best in 11/30 wells
  DistOnly: best in 12/30 wells
  IDW: best in 7/30 wells
  Enhanced > IDW: 12/30
  Enhanced > DistOnly: 11/30

PER-WELL DETAIL (sorted by Enhanced KGE):
             Well_ID |  Enh_KGE Enh_RMSE | Dist_KGE Dist_RMSE |  IDW_KGE IDW_RMSE |   Elev
----------------------------------------------------------------------------------------------------
     415926111571301 |   0.7162     3.34 |   0.7353      1.89 |   0.7353     1.89 |      0
     414236112101201 |   0.6181    44.29 |   0.4294     17.39 |   0.3355    32.65 |      0
     415926111571302 |   0.5930     0.71 |   0.7351      1.89 |   0.7351     1.89 |      0
     411348112013601 |   0.5261    14.27 |   0.3334     31.46 |   0.3248    28.35 |      0
     403524111572201 |   0.3671    13.16 |   0.5782      6.48 |   0.5795     6.39 |      0
     411544111461001 |   0.3533     6.00 |   0.4971     37.78 |   0.4816    44.48 |      0
     415506112030201 |   0.3420   422.46 |   0.1951    431.97 |   0.1218   436.03 |      0
     393814113522601 |   0.3374    42.09 |   0.1947      4.44 |   0.1932     1.99 |      0
     414721111590001 |   0.2405   139.42 |   0.3392     21.66 |   0.2753     9.05 |   1351
     414857111495801 |   0.1758    34.00 |   0.2003     35.21 |   0.2089    33.63 |      0
     401312112442301 |   0.0966   104.90 |   0.0049     47.24 |  -0.0108    42.10 |      0
     415703112514501 |   0.0277     5.27 |  -0.0551     15.77 |  -0.0556    16.02 |      0
     414209111574001 |  -0.0135     3.42 |  -0.0816      8.39 |  -0.1082    18.15 |      0
     413805111492201 |  -0.0377   251.26 |   0.2303    208.13 |   0.2275   210.78 |      0
     403916111575901 |  -0.0378   102.39 |   0.2591      7.62 |   0.2593     7.64 |   1360
     413609111495701 |  -0.1239   256.78 |  -0.0217    220.25 |   0.0035   227.68 |      0
     414134111544701 |  -0.2278    21.83 |   0.0395      2.84 |   0.0395     2.84 |      0
     403627111495702 |  -0.2496    53.43 |   0.9159      2.78 |   0.9159     2.78 |      0
     403627111495701 |  -0.2727    50.48 |   0.9137      2.78 |   0.9137     2.78 |      0
     402333111513401 |  -0.3077    12.36 |   0.0195      7.05 |   0.0590     6.71 |      0
     415008111593901 |  -0.3414    69.34 |  -0.0096     65.37 |  -0.0534    66.67 |      0
     414642111511401 |  -0.5807    56.32 |  -0.5370      1.14 |  -0.5681     2.56 |   1356
     403524111512901 |  -0.6072    92.20 |  -7.5025    262.17 |  -7.4990   262.12 |      0
     413840111552601 |  -0.6266    21.88 |  -0.8133     11.82 |  -0.8197     6.08 |      0
     414411112543701 |  -0.6689    26.64 |   0.3342      0.59 |  -1.2137    19.72 |      0
     403628111514301 |  -0.9728    41.21 |  -1.3824     35.79 |  -1.0255    34.04 |      0
     403002112123201 |  -1.7279    48.74 |  -0.9905     90.72 |  -0.9751    99.37 |      0
     415638111493601 |  -1.9304    96.83 |  -0.8718     47.01 |  -0.8475    43.48 |      0
     401818112014501 |  -4.8027     6.67 |  -2.0435      4.77 |  -2.0657     8.55 |      0
     404007111585801 |  -7.4375    62.75 |  -8.0035     64.60 |  -7.6969    61.93 |      0
