resolution,Well_ID,grid_cell,n_wells_in_cell,rank,mc_kge,mc_r2,mc_rmse,mc_mae,mc_nse,mc_r,idw_kge,idw_r2,idw_rmse,idw_mae
0.1,415703112514501,1348,5,10,-0.019152232028902372,-2.837756131132009,9.800173423015965,8.55937134827001,-2.837756131132009,0.12188662836083694,0.022287752051429965,-2.836160165654036,9.798135465893298,8.532550600208262
0.1,414236112101201,1247,1,10,0.5317396828992206,-3031.3031702035496,74.66725651743005,74.66154523139645,-3031.3031702035496,0.7449785700435839,0.5714500245141965,-3031.2667659843473,74.66680830839894,74.66154450857579
0.1,411348112013601,1069,3,10,0.8057232481353017,-0.3010745991042372,5.7529840413918025,5.130808138248398,-0.3010745991042372,0.8488480432568932,0.8155898901070743,-0.3264088676191972,5.808724494255851,5.238124281203628
0.1,411544111461001,1107,3,10,0.48557552775929247,0.0031294650902046195,3.7294137055670897,3.1383178790465944,0.0031294650902046195,0.7479593121323116,0.5014746559790939,0.0012868472898012184,3.7328588427580396,3.13918522529676
0.1,401818112014501,745,7,10,-0.859205094693156,-12664.531276000731,33.733575799803226,33.723282942623854,-12664.531276000731,-0.08682563406578546,-1.1675772586904811,-12666.497149010327,33.73619366681724,33.72328186194691
0.1,402333111513401,782,12,10,-0.8591172113140448,-13.83584049440502,26.24733004002108,24.76957123165741,-13.83584049440502,-0.7389648632652593,-0.8445456259932387,-13.8515896289818,26.261257902296226,24.76957103182251
0.1,401312112442301,701,1,10,-0.10418859170868311,-12.348657178137959,3.8065962622894554,3.5980534962132475,-12.348657178137959,-0.035188743677481475,-0.0933689719374351,-12.366330052960238,3.809115288978278,3.598053812404408
0.1,403916111575901,889,12,10,-4.176869876974396,-5054.017025038766,76.6225272079528,76.31798950355306,-5054.017025038766,-0.22839341203707408,-4.436449021068408,-5057.172114890878,76.6464354605245,76.31799060491436
0.1,414411112543701,1240,1,10,-1.2632297270438424,-43562.4150382996,114.61442128280103,114.60657971101288,-43562.4150382996,0.8685973000109971,-1.2660138468753392,-43562.433563911894,114.61444565304501,114.60657990072283
0.1,413805111492201,1215,2,10,-0.09866851205909155,-322.1302529322156,49.447648706622125,49.374699639541454,-322.1302529322156,0.21773256261914462,-0.014508613073333398,-322.1082181309995,49.44596271826992,49.37469966019179
0.1,404007111585801,889,12,10,-5.442749849923108,-7494.17508097243,76.00951753252254,75.73036709454735,-7494.17508097243,0.022971868042151233,-5.791162157437983,-7499.986128038819,76.03897710486125,75.7303675108013
0.1,403524111512901,854,28,10,-0.5193535195365517,-9433.515113096637,148.30296931997532,148.26248968093134,-9433.515113096637,-0.3301929020565339,-0.5238936309621816,-9433.832886556553,148.3054668702091,148.26248721912185
0.1,403627111495701,855,5,10,0.1084861761610808,-541.5818660841294,76.26888867807617,76.2029978076604,-541.5818660841294,0.296016963895454,0.2782661919238174,-541.4331890278555,76.25843844791667,76.20299938683
0.1,403628111514301,854,28,10,0.12849922560494564,-52.08944276022841,17.622780908028936,17.307469554499534,-52.08944276022841,0.13229212246176209,0.1448754124790027,-52.21455710293925,17.64353423515044,17.30746727158926
0.1,393814113522601,474,3,10,-0.07268284996136876,-921.6723639298621,28.81349560187229,28.798177988801537,-921.6723639298621,0.18370545104079214,-0.07338753077859694,-921.6768079755311,28.8135649917994,28.798178299954227
0.1,403524111572201,853,10,10,0.7868289365706168,-361.5027423481729,40.2546564741729,40.23143208054629,-361.5027423481729,0.8166600707319369,0.793538209360557,-361.45587969957865,40.25205442379961,40.23143348872728
0.1,415008111593901,1285,2,10,0.6361173622541283,-492.24256955465455,36.03417577771441,36.020913256728996,-492.24256955465455,0.8062329606846804,0.6766336149316372,-492.40953408461047,36.04027411607,36.020913003810485
0.1,414209111574001,1249,1,10,-0.2432336484579738,-497.67820716229687,22.6985878733776,22.674964589550367,-497.67820716229687,0.028562206175700905,-0.14337706305742492,-497.6417497997637,22.697758134118363,22.67496473752356
0.1,414642111511401,1286,4,10,-0.24724991769174154,-368.525007624257,17.436312400816657,17.397195865136002,-368.525007624257,-0.1938650165475336,-0.16976832224759364,-368.922603840863,17.445690315556703,17.397195545725317
